model,scenario,n_requests,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,ttft_mean_ms,decode_speed_mean,ram_peak_mean_gb,cpu_peak_mean_pct,gpu_mem_peak_gb,session_net_energy_mean_j,session_net_energy_std_j,energy_per_tok_mean_j,degradation_mean_pct,cold_start_ms
Qwen2.5 0.5B,serial,150,1169.25,353.34,1388.04,1444.38,1488.19,17.14,311.94,0.694,8.09,1.121,4016.42934,129.470435,0.4243006,68.72,2629.3
Qwen2.5 0.5B,high_load,150,1161.57,349.46,1363.04,1443.14,1660.53,17.28,315.2,0.697,8.97,1.123,3802.45859,85.832046,0.4016965,62.94,724.64
Qwen2.5 0.5B,concurrent,150,2306.53,1030.24,2320.97,3521.67,4407.36,13.51,323.24,0.758,10.0,1.123,3290.84073,52.857101,0.3463074,49.75,756.74
TinyLlama 1.1B,serial,150,939.49,346.13,1052.27,1297.45,1355.91,19.12,247.54,0.479,7.61,1.071,3899.076923,23.230505,0.442323,58.77,2649.62
TinyLlama 1.1B,high_load,150,937.99,345.84,1044.68,1297.45,1360.81,19.02,248.06,0.482,7.79,1.072,3693.694077,10.21182,0.4190237,60.69,1606.39
TinyLlama 1.1B,concurrent,150,2132.32,1133.43,1874.16,3765.61,4798.15,18.04,248.07,0.499,8.74,1.072,3468.567173,22.922154,0.3936034,43.47,1560.41
Qwen2 1.5B,serial,150,1618.17,627.69,1851.64,2227.9,2272.52,26.07,160.34,0.721,8.1,1.679,6038.38156,9.053517,0.7207426,155.13,2934.65
Qwen2 1.5B,high_load,150,1604.82,627.95,1851.54,2224.37,2259.78,25.49,162.89,0.727,8.61,1.68,5809.602607,38.043002,0.6934355,162.33,754.49
Qwen2 1.5B,concurrent,150,3461.81,1706.67,3275.68,5983.49,7486.92,24.46,165.86,0.788,10.6,1.68,5217.35085,22.951576,0.6198708,98.6,743.41
Llama3.2 3B,serial,150,2947.15,1061.25,3487.87,3908.54,4011.0,39.38,81.61,0.874,9.76,2.974,11503.22471,30.047733,1.2439953,81.06,3705.8
Llama3.2 3B,high_load,150,2949.82,1071.09,3489.31,3926.6,4065.07,39.19,81.5,0.875,10.12,2.975,11321.19876,22.560502,1.2243104,94.04,969.25
Llama3.2 3B,concurrent,150,6614.8,3552.87,6125.38,11056.79,14311.73,39.26,82.66,0.939,11.7,2.975,10370.81562,147.205205,1.1207544,74.93,959.68
Phi-3 3.8B,serial,150,3021.24,1040.31,3618.08,3854.51,4114.93,47.05,76.34,0.512,9.8,3.953,12478.66605,244.839403,1.2025312,209.62,2359.23
Phi-3 3.8B,high_load,150,3020.73,1036.09,3612.94,3838.77,4116.64,47.16,76.22,0.514,10.33,3.953,12130.324293,254.058937,1.1689625,211.61,616.24
Phi-3 3.8B,concurrent,150,7312.37,3765.25,7222.06,12212.41,15416.39,48.09,76.13,0.522,11.53,3.953,11767.012167,166.184683,1.1324046,94.02,514.31
